Author_ID,Author_Name
7203006899,"Ruíz, Agustín R."
55118463400,"Ramirez, Alfredo Echevarria"
57189595440,"Ikram, Mohammad Arfan"
7005533520,"Mather, Karen A."
7102284091,"Sachdev, Perminder S."
23481725300,"Ghanbari, Mohsen"
57163665600,"Zulaica, Miren"
6602908270,"Yannakoulia, Mary"
7101638963,"Woods, Robert T."
12243150500,"Windle, Gill"
57192097884,"Weinhold, Leonie"
34878129800,"Wallon, David"
59762394500,"Wagner, Michael"
56968040600,"Vogelgsang, Jonathan S."
24922350900,"Vita, Maria Gabriella"
7402422328,"Vidal, Jean Sébastien"
57203039054,"Vandenberghe, Rik"
57202758297,"van Rooij, Jeroen G.J."
54780813400,"van Dongen, Jasper"
7103287561,"van Broeckhoven, Christine L."
8345604300,"Valero, Sergi"
15770260300,"Ulstein, Ingun Dina"
57207833642,"Ullgren, Abbe"
35231615000,"Uitterlinden, André G."
7005080154,"Tybjaerg-Hansen, Anne"
57221025268,"Thomas, Tegos"
8948013100,"Thalamuthu, Anbupalam"
57205461418,"Tesi, Niccolò"
35599794000,"Tárraga, Lluís L."
58785420800,"Miguel, Andrea"
6603494702,"Stordal, Eystein"
8944770900,"Spottke, Annika E."
23006652400,"Sotolongo-Grau, Oscar"
7004417453,"Sorbi, Sandro"
14033178100,"Solomon, Alina K."
35312409300,"Skrobot, Olivia Anna"
57196410947,"Shadrin, Alexey A."
55884017800,"Selbæk, Geir"
7103177641,"Schott, Jonathan M."
55684265900,"Schmid, Matthias C."
12805380800,"Scherer, Martin"
57210771033,"Scarpini, Elio Angelo"
23107114400,"Scamosci, Michela"
8970119300,"Sando, Sigrid Botne"
7003798054,"Sánchez-García, Florentino"
56201615600,"Sánchez-Arjona, María Bernal"
57433263500,"García-Gutierrez, Fernando"
7801463956,"Saltvedt, Ingvild"
23111730000,"Sakka, Paraskevi"
7006539069,"Sáez, M. E."
8918035400,"Rubino, Elisa"
57218166348,"Royo, José Luís"
35189524700,"Rosende-Roca, Maitée"
57385993800,"Allende, Irene Rosas"
13907592500,"Rongve, Arvid"
57693677200,"Olivé, Clàudia"
55164752600,"Riederer, Peter Franz"
7006221053,"Reinders, Marcel Jt T."
55934986000,"Rábano, Alberto"
15722586200,"Quintela, Inés"
55918450000,"Quenez, Olivier"
59740786500,"Puerta, Raquel"
57222365966,"Priller, Josef"
57211973500,"Posthuma, Daniëlle"
15835427200,"Polak, Thomas"
55903036100,"Pisanu, Claudia"
7102600123,"Pineda, Juan Antonio"
55413152100,"Pericard, Pierre"
60093476400,"Martinez-Lucas, Marta"
7003351095,"Caffarra, Paolo"
55996824100,"Padovani, Alessandro"
58788888200,"Capdevila-Bayo, Maria"
57224829353,"Orsini, Michela"
57199309342,"Orellana, Adelina"
6506924380,"Olaso, Robert"
7007170557,"Nordestgaard, Börge Grønne"
8970893000,"Ngandu, Tiia"
35355123900,"Nöthen, Markus Maria"
56985194100,"Morgan, Kevin"
57204843361,"Montrreal, Laura"
57205732626,"Mol, Merel O."
9280042800,"Menendez-Gonzalez, Manuel"
57218212095,"Mendoza, Silvia"
57195548262,"Meggy, Alun"
57214510018,"Medina, Miguel"
7005428170,"Mead, Simon H."
56317675400,"Rodríguez, Carmen Martínez"
57191257347,"Martinez-Montes, Angel Mario"
59105688300,"Marshall, Rachel"
35362301200,"Marquié, Marta"
60093476500,"Marco, Spallazzi"
8253126600,"Mangialasche, Francesca"
36046783700,"Maier, Wolfgang"
57194541889,"MacLeod, Catherine A."
7007084201,"Macías Sánchez, J."
57221606454,"Luckcuck, Lauren"
57581543200,"Löwemark, Malin"
55629821400,"Love, Seth"
7004541149,"López de Munáin, Adolfo L."
6701565311,"Lleo, Alberto"
15063126700,"Lerch, Ondrej"
24176987300,"Lehtisalo, Jenni"
35268692300,"Lauria, Alessandra"
6603310640,"Laukka, Erika Jonsson"
57193930664,"Lage-Martínez, Carmen"
6602144573,"Kosmidis, Mary H."
7007179429,"Kornhuber, Johannes"
57210906244,"Koivisto, Anne Maria"
6701347410,"Kivipelto, Miia"
6507285284,"Kinhult Ståhlbom, Anne"
57222582327,"Kilander, Lena"
57200129937,"Johansson, Charlotte"
60093476600,"Jan Biessels, Geert"
32367703100,"Hulsman, Marc"
57207818667,"Huerto, Raquel"
7202410686,"Holmes, Clive A."
35242500200,"Hoffmann, Per"
7201821846,"Herrmann, Martin J."
15757715500,"Hernández, Isabel"
7003653109,"Heneka, Michael Thomas"
7004075892,"Helisalmi, Seppo"
57205672196,"Harwood, Janet C."
12244451200,"Leonenko, Ganna M."
57212029741,"Hartmann, Annette M."
56210513900,"Hardy, John Anthony"
7102196079,"Hampel, Harald G."
57205356061,"Hadjigeorgiou, Georgios M."
7801319908,"Haapasalo, Annakaisa"
9745445300,"Guetta-Baranés, Tamar"
56814297000,"Green, Emma"
56083485100,"Grande, Giulia"
7003335075,"González-Pérez, Antonio"
56083819300,"Goldhardt, Oliver"
57581480500,"Giorgio, Giaccone"
6602186623,"Giegling, Ina"
6506952070,"García-Ribas, Guillermo"
57191409484,"Garcia-Madrona, Sebastián"
60093596600,"García-González, Pablo"
57219556947,"Froelich, Lutz"
59157670900,"Frank García, Ana"
60092891500,"Franco-Macías, Emlio"
7201444328,"Fox, Nick C."
55603555100,"Fostinelli, Silvia"
57201663802,"Foroud, Tatiana M."
36171423000,"Fortea, J. O."
6506812066,"Fliessbach, Klaus"
6602519441,"Fladby, Tormod"
57210907375,"Fischer, Peter A."
57200118538,"Fin, Bertrand"
55761374700,"Ferri, Evelyn"
55319908600,"Ferreira, Catarina B."
57209802472,"Fernández-Fuertes, Marta"
8661375900,"Fenoglio, Chiara"
56109284000,"Farotti, Lucia"
57215569729,"Nielsen, Sune Fallgaard"
57581565200,"Fabrizio, Tagliavini"
6603640180,"Ewers, Michael"
59413953500,"Blázquez, Josep"
7004850774,"Engelborghs, Sebastiaan"
22233430800,"Duron, Emmanuelle"
57191747783,"Djurovic, Srdjan"
57223395947,"Rossi, Paolo Dionigi"
57192395806,"Diez-Fairen, Monica"
14318959100,"Diehl-Schmid, Janine"
56239788400,"Denning, Nicola"
7004823276,"Del-Ser, Teodoro"
35381445900,"de Deyn, Peter Paul"
7101729170,"Dartigues, Jean François"
23008233700,"Dardiotis, Efthymios"
57223412636,"Daian, Delphine Bacq"
57195291515,"Custodero, Carlo"
57208906865,"Giuffré, Guido Maria"
57197823144,"Corma-Gómez, Anaïs"
24172578800,"Conti, Elisa"
57203971450,"Clark, Christopher"
57195450094,"Clarimón, Jordi"
8627304000,"Claassen, Jurgen A.H.R."
57204667396,"Ciccone, Simona"
6505797040,"Chillotti, Caterina"
35572932800,"Charbonnier, Camille"
56584427900,"Cervera-Carles, Laura"
6701673318,"Cecchetti, Roberta"
7006062179,"Carracedo, Ángel M."
57191405992,"Chêne, Geneviève"
7006291713,"Calero, Miguel"
12243091900,"Burholt, Vanessa"
6701558730,"Buerger, Katharina"
57202154229,"Buiza-Rueda, Dolores"
8921920600,"Brookes, Keeley Joanne"
7005329283,"Brodaty, Henry"
57031788200,"Bresner, Catherine"
55761743400,"Bråthen, Geir"
57214786019,"Bossù, Paola"
7006383926,"Boschi, Silvia"
57192408353,"Tárraga, Lluís L."
56186408100,"Blesa, Rafael G."
57581480400,"Bizarro, Alessandra"
57224130451,"Bellini, Sonia"
35429391100,"Binetti, Giuliano"
6504062551,"Bessi, Valentina"
17340073500,"Besse, Céline"
55394254700,"Berr, Claudine"
57211167112,"Pastor, Ana Belén"
7005440700,"Baquero, Miguel"
56194289200,"Banaj, Nerisa"
57053446600,"Bailly, Henri"
35261647800,"Athanasiu, Lavinia"
57202741165,"Arias, Alfonso"
6602730650,"Archetti, Silvana"
57189438902,"Arcaro, Marina"
8309607400,"Appollonio, Ildebrando Marco"
60093247500,"Anthoula, Tsolaki"
14631735000,"Armstrong, Nicola J."
55251085600,"Illan, Ignacio Alvarez"
7003971140,"Alegret, Montserrat"
58906796100,"Alcolea, Daniel"
57204185586,"Alarcón-Martín, E."
56884583500,"Abdelnour, Carla"
57158822700,"Cano, Amanda C."
56222844000,"Aarsland, Dag"
57215616072,"Ahmad, Shahzad"
56568371300,"Kleineidam, Luca"
6603761608,"Dalmasso, María Carolina"
58828489700,"Fernández, Victoria"
57195728232,"Andrade, Victor M."
57211450898,"van der Lee, Sven J."
54397154500,"Jansen, Iris E."
6602958787,"Frikke- Schmidt, Ruth"
57203218754,"Amin, Najaf A."
57190279096,"Roshchupkin, Gennady Vasilievich"
7401836359,"Lambert, Jean Charles"
6602167158,"Van Steen, Kristel"
36037246700,"van Duijn, Cornelia M."
57216308589,"Escott-Price, Valentina"
59419106900,"Peres, Marlene"
57194682665,"de Almeida, Raquel Simoes"
24076913400,"Moreira, António A.F.G."
58856772600,"Tavares, Joana"
15050771100,"Láčík, Jaroslav"
16031596400,"Pinho, Pedro"
15050960900,"Raida, Zbyněk Sk"
56733172400,"Alves, Helena"
57205271455,"Araújo, Natália Rebeca Alves"
57209201715,"Silva, Isa"
58507948300,"Campos, Patrícia"
59632109000,"Costa, Adriana C."
